Symbol	Date	EMA10T7	EMA10T6	EMA10T5	EMA10T4	EMA10T3	EMA10T2	EMA10T1	EMA10T0	EMA20T7	EMA20T6	EMA20T5	EMA20T4	EMA20T3	EMA20T2	EMA20T1	EMA20T0

SRDX	21.07.2021	53,9499431348	53,8481351811	53,6575650095	53,5034625302	53,4955600855	53,4163675924	53,5024824646	53,7183944941	53,7892954693	53,7512672712	53,6606703156	53,5796542258	53,5682584981	53,5198530576	53,5551050893	53,6631901881
MHNC	21.07.2021	24,0364532428	24,0389161508	24,0372951573	23,9886961211	23,9543875967	23,9172262155	23,9122758835	23,9173167291	24,0063539946	24,0105106844	24,0123668751	23,9892843591	23,9712572047	23,9501850899	23,9444531185	23,9440290628
RGA	21.07.2021	114,2884043617	114,2686945332	114,1216589971	114,0486303105	113,5125154311	112,1011489891	111,5991212343	111,3901895460	116,3249183327	116,1206404253	115,8672460119	115,6627465080	115,2281990762	114,3255134499	113,8507022964	113,5268255965
TLMD	21.07.2021	5,2925515182	5,1793603469	5,0758403081	5,0020511751	4,9071327831	4,8421995845	4,8217996635	4,8269269801	5,6179318732	5,5276526545	5,4402571763	5,3668993573	5,2824327536	5,2126772714	5,1667080093	5,1365453327
VYGR	21.07.2021	3,9898261133	3,9334941049	3,8546769949	3,7847357283	3,7166019751	3,6499470532	3,6154112323	3,5853364714	4,1441237594	4,0999215029	4,0427861217	3,9882350652	3,9331650672	3,8776255279	3,8378516717	3,8009134218
RMR	21.07.2021	38,9703741521	38,8175790459	38,7007463534	38,6133381475	38,5127314612	38,2795074760	38,2923240211	38,4028108401	39,2395884132	39,1339134280	39,0425882669	38,9642466435	38,8781280463	38,7211634269	38,6858143838	38,7062131592
UE	21.07.2021	19,0649257855	19,0131212221	18,9870993343	18,9530811348	18,8652480763	18,6915665802	18,7585543776	18,9079081132	19,2164868689	19,1749167563	19,1458771452	19,1129363920	19,0517042893	18,9429705329	18,9541161456	19,0137241245
ASND	21.07.2021	129,7345688738	128,7864648319	127,5234705602	126,6592025753	125,6375295462	124,8870700172	124,3821483068	123,9490304329	132,0253278207	131,3105343752	130,4085783716	129,6810943975	128,8581331135	128,1583111156	127,5822815437	127,0506356824
RCS	21.07.2021	7,6923228547	7,6737187271	7,6657698884	7,6519935728	7,6389038184	7,6172849389	7,6086877085	7,5889263069	7,6908583031	7,6812527650	7,6763715602	7,6681457118	7,6597508749	7,6464412659	7,6391611617	7,6259077177
